Movie,trunc,Release Date,Distributor,Genre
Star Wars Ep. III: Revenge …,Star Wars Ep. III: R,"May 19, 2005",20th Century Fox,Adventure
Harry Potter and the Goblet…,Harry Potter and the,"Nov 18, 2005",Warner Bros.,Adventure
War of the Worlds,War of the Worlds,"Jun 29, 2005",Paramount Pictures,Action
The Chronicles of Narnia: T…,The Chronicles of Na,"Dec 9, 2005",Walt Disney,Adventure
Wedding Crashers,Wedding Crashers,"Jul 15, 2005",New Line,Comedy
Charlie and the Chocolate F…,Charlie and the Choc,"Jul 15, 2005",Warner Bros.,Adventure
Batman Begins,Batman Begins,"Jun 15, 2005",Warner Bros.,Action
Madagascar,Madagascar,"May 27, 2005",Dreamworks SKG,Adventure
Mr. And Mrs. Smith,Mr. And Mrs. Smith,"Jun 10, 2005",20th Century Fox,Action
Hitch,Hitch,"Feb 11, 2005",Sony Pictures,Romantic Comedy
Apollo 13,Apollo 13,"Jun 30, 1995",IMAX Films,Drama
King Kong,King Kong,"Dec 14, 2005",Universal,Adventure
The Longest Yard,The Longest Yard,"May 27, 2005",Paramount Pictures,Comedy
Fantastic Four,Fantastic Four,"Jul 8, 2005",20th Century Fox,Action
Chicken Little,Chicken Little,"Nov 4, 2005",Walt Disney,Adventure
Robots,Robots,"Mar 11, 2005",,Adventure
Meet the Fockers,Meet the Fockers,"Dec 22, 2004",Universal,Comedy
The Pacifier,The Pacifier,"Mar 4, 2005",Walt Disney,Comedy
The 40 Year-old Virgin,The 40 Year-old Virg,"Aug 19, 2005",Universal,Romantic Comedy
Million Dollar Baby,Million Dollar Baby,"Jan 21, 2005",,Drama
Walk the Line,Walk the Line,"Nov 18, 2005",20th Century Fox,Drama
Flightplan,Flightplan,"Sep 23, 2005",Walt Disney,Thriller/Suspense
Saw II,Saw II,"Oct 28, 2005",Lionsgate,Horror
Monster-in-Law,Monster-in-Law,"May 13, 2005",New Line,Romantic Comedy
Are We There Yet?,Are We There Yet?,"Jan 21, 2005",Sony Pictures,Comedy
The Dukes of Hazzard,The Dukes of Hazzard,"Aug 5, 2005",Warner Bros.,Comedy
The Aviator,The Aviator,"Dec 17, 2004",Miramax,Drama
March of the Penguins,March of the Penguin,"Jul 22, 2005",Warner Independent,Documentary
The Ring Two,The Ring Two,"Mar 18, 2005",Dreamworks SKG,Horror
Constantine,Constantine,"Feb 18, 2005",Warner Bros.,Action
The Exorcism of Emily Rose,The Exorcism of Emil,"Sep 9, 2005",Sony Pictures,Horror
Four Brothers,Four Brothers,"Aug 12, 2005",Paramount Pictures,Thriller/Suspense
Sin City,Sin City,"Apr 1, 2005",Miramax/Dimension,Thriller/Suspense
Christmas with the Kranks,Christmas with the K,"Nov 24, 2004",Sony Pictures,Comedy
The Interpreter,The Interpreter,"Apr 22, 2005",Universal,Thriller/Suspense
Guess Who,Guess Who,"Mar 25, 2005",Sony Pictures,Comedy
Sahara,Sahara,"Apr 8, 2005",Paramount Pictures,Adventure
Coach Carter,Coach Carter,"Jan 14, 2005",Paramount Pictures,Drama
Herbie: Fully Loaded,Herbie: Fully Loaded,"Jun 22, 2005",Walt Disney,Adventure
The Amityville Horror,The Amityville Horro,"Apr 15, 2005",Filmways Pictures,Horror
Sky High,Sky High,"Jul 29, 2005",Walt Disney,Adventure
Bewitched,Bewitched,"Jun 24, 2005",Sony Pictures,Comedy
Jarhead,Jarhead,"Nov 4, 2005",Universal,Drama
