Movie,trunc,Release Date,Distributor,Genre
Avengers: Endgame,Avengers: Endgame,"Apr 26, 2019",Walt Disney,Action
The Lion King,The Lion King,"Jul 19, 2019",Walt Disney,Adventure
Frozen II,Frozen II,"Nov 22, 2019",Walt Disney,Musical
Toy Story 4,Toy Story 4,"Jun 21, 2019",Walt Disney,Adventure
Captain Marvel,Captain Marvel,"Mar 8, 2019",Walt Disney,Action
Star Wars: The Rise of Skyw…,Star Wars: The Rise ,"Dec 20, 2019",Walt Disney,Adventure
Spider-Man: Far From Home,Spider-Man: Far From,"Jul 2, 2019",Sony Pictures,Action
Aladdin,Aladdin,"May 24, 2019",Walt Disney,Adventure
Joker,Joker,"Oct 4, 2019",Warner Bros.,Thriller/Suspense
It: Chapter Two,It: Chapter Two,"Sep 6, 2019",Warner Bros.,Horror
Jumanji: The Next Level,Jumanji: The Next Le,"Dec 13, 2019",Sony Pictures,Adventure
Us,Us,"Mar 22, 2019",Universal,Horror
Fast & Furious Presents: Ho…,Fast & Furious Prese,"Aug 2, 2019",Universal,Action
John Wick: Chapter 3 — Para…,John Wick: Chapter 3,"May 17, 2019",Lionsgate,Action
How to Train Your Dragon: T…,How to Train Your Dr,"Feb 22, 2019",Universal,Adventure
The Secret Life of Pets 2,The Secret Life of P,"Jun 7, 2019",Universal,Adventure
Pokémon: Detective Pikachu,Pokémon: Detective P,"May 10, 2019",Warner Bros.,Comedy
Once Upon a Time…in Hollywo…,Once Upon a Time…in ,"Jul 26, 2019",Sony Pictures,Thriller/Suspense
Shazam!,Shazam!,"Apr 5, 2019",Warner Bros.,Action
Aquaman,Aquaman,"Dec 21, 2018",Warner Bros.,Action
Knives Out,Knives Out,"Nov 27, 2019",Lionsgate,Drama
Dumbo,Dumbo,"Mar 29, 2019",Walt Disney,Adventure
Maleficent: Mistress of Evil,Maleficent: Mistress,"Oct 18, 2019",Walt Disney,Adventure
Glass,Glass,"Jan 18, 2019",Universal,Thriller/Suspense
Godzilla: King of the Monsters,Godzilla: King of th,"May 31, 2019",Warner Bros.,Action
Ford v. Ferrari,Ford v. Ferrari,"Nov 15, 2019",20th Century Fox,Drama
The Upside,The Upside,"Jan 11, 2019",STX Entertainment,Comedy
The LEGO Movie 2: The Secon…,The LEGO Movie 2: Th,"Feb 8, 2019",Warner Bros.,Adventure
Hustlers,Hustlers,"Sep 13, 2019",STX Entertainment,Drama
The Addams Family,The Addams Family,"Oct 11, 2019",United Artists,Adventure
Downton Abbey,Downton Abbey,"Sep 20, 2019",Focus Features,Drama
Rocketman,Rocketman,"May 31, 2019",Paramount Pictures,Drama
Alita: Battle Angel,Alita: Battle Angel,"Feb 14, 2019",20th Century Fox,Action
Good Boys,Good Boys,"Aug 16, 2019",Universal,Comedy
Men in Black: International,Men in Black: Intern,"Jun 14, 2019",Sony Pictures,Adventure
Annabelle Comes Home,Annabelle Comes Home,"Jun 26, 2019",Warner Bros.,Horror
Yesterday,Yesterday,"Jun 28, 2019",Universal,Romantic Comedy
Tyler Perry’s A Madea Famil…,Tyler Perry’s A Made,"Mar 1, 2019",Lionsgate,Comedy
Zombieland: Double Tap,Zombieland: Double T,"Oct 18, 2019",Sony Pictures,Comedy
Angel Has Fallen,Angel Has Fallen,"Aug 23, 2019",Lionsgate,Thriller/Suspense
Scary Stories to Tell in th…,Scary Stories to Tel,"Aug 9, 2019",Lionsgate,Horror
Dark Phoenix,Dark Phoenix,"Jun 7, 2019",20th Century Fox,Action
Terminator: Dark Fate,Terminator: Dark Fat,"Nov 1, 2019",Paramount Pictures,Action
Abominable,Abominable,"Sep 27, 2019",Universal,Adventure
Dora and the Lost City of Gold,Dora and the Lost Ci,"Aug 9, 2019",Paramount Pictures,Adventure
A Beautiful Day in the Neig…,A Beautiful Day in t,"Nov 22, 2019",Sony Pictures,Drama
Midway,Midway,"Nov 8, 2019",Lionsgate,Action
Spider-Man: Into The Spider…,Spider-Man: Into The,"Dec 14, 2018",Sony Pictures,Adventure
Bumblebee,Bumblebee,"Dec 21, 2018",Paramount Pictures,Adventure
The Curse of La Llorona,The Curse of La Llor,"Apr 19, 2019",Warner Bros.,Horror
Pet Sematary,Pet Sematary,"Apr 5, 2019",Paramount Pictures,Horror
What Men Want,What Men Want,"Feb 8, 2019",Paramount Pictures,Romantic Comedy
Green Book,Green Book,"Nov 21, 2018",Universal,Comedy
Ad Astra,Ad Astra,"Sep 20, 2019",20th Century Fox,Thriller/Suspense
Isn’t it Romantic,Isn’t it Romantic,"Feb 13, 2019",Warner Bros.,Romantic Comedy
Gemini Man,Gemini Man,"Oct 11, 2019",Paramount Pictures,Action
Spies in Disguise,Spies in Disguise,"Dec 25, 2019",20th Century Fox,Adventure
MA,MA,"May 31, 2019",Universal,Horror
Five Feet Apart,Five Feet Apart,"Mar 15, 2019",Lionsgate,Drama
Wonder Park,Wonder Park,"Mar 15, 2019",Paramount Pictures,Adventure
Rambo: Last Blood,Rambo: Last Blood,"Sep 20, 2019",Lionsgate,Action
