Movie,trunc,Release Date,Distributor,Genre
Transformers: Revenge of th…,Transformers: Reveng,"Jun 24, 2009",Paramount Pictures,Action
Avatar,Avatar,"Dec 18, 2009",20th Century Fox,Action
Harry Potter and the Half-B…,Harry Potter and the,"Jul 15, 2009",Warner Bros.,Adventure
Up,Up,"May 29, 2009",Walt Disney,Adventure
The Twilight Saga: New Moon,The Twilight Saga: N,"Nov 20, 2009",Summit Entertainment,Drama
The Hangover,The Hangover,"Jun 5, 2009",Warner Bros.,Comedy
Star Trek,Star Trek,"May 8, 2009",Paramount Pictures,Adventure
The Blind Side,The Blind Side,"Nov 20, 2009",Warner Bros.,Drama
Monsters vs. Aliens,Monsters vs. Aliens,"Mar 27, 2009",Paramount Pictures,Adventure
Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the,"Jul 1, 2009",20th Century Fox,Adventure
X-Men Origins: Wolverine,X-Men Origins: Wolve,"May 1, 2009",20th Century Fox,Action
Night at the Museum: Battle…,Night at the Museum:,"May 22, 2009",20th Century Fox,Adventure
The Proposal,The Proposal,"Jun 19, 2009",Walt Disney,Romantic Comedy
2012,2012,"Nov 13, 2009",Sony Pictures,Adventure
Alvin and the Chipmunks: Th…,Alvin and the Chipmu,"Dec 23, 2009",20th Century Fox,Adventure
Fast & Furious,Fast & Furious,"Apr 3, 2009",Universal,Action
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise o,"Aug 7, 2009",Paramount Pictures,Action
Paul Blart: Mall Cop,Paul Blart: Mall Cop,"Jan 16, 2009",Sony Pictures,Comedy
Taken,Taken,"Jan 30, 2009",20th Century Fox,Thriller/Suspense
Sherlock Holmes,Sherlock Holmes,"Dec 25, 2009",Warner Bros.,Adventure
Gran Torino,Gran Torino,"Jan 9, 2009",Warner Bros.,Drama
Disney’s A Christmas Carol,Disney’s A Christmas,"Nov 6, 2009",Walt Disney,Drama
Angels & Demons,Angels & Demons,"May 15, 2009",Sony Pictures,Thriller/Suspense
Terminator Salvation,Terminator Salvation,"May 21, 2009",Warner Bros.,Action
Cloudy with a Chance of Mea…,Cloudy with a Chance,"Sep 18, 2009",Sony Pictures,Adventure
Inglourious Basterds,Inglourious Basterds,"Aug 21, 2009",Weinstein Co.,Action
G-Force,G-Force,"Jul 24, 2009",Walt Disney,Adventure
District 9,District 9,"Aug 14, 2009",Sony Pictures,Thriller/Suspense
Slumdog Millionaire,Slumdog Millionaire,"Nov 12, 2008",Fox Searchlight,Drama
Couples Retreat,Couples Retreat,"Oct 9, 2009",Universal,Romantic Comedy
Paranormal Activity,Paranormal Activity,"Sep 25, 2009",Paramount Pictures,Horror
Watchmen,Watchmen,"Mar 6, 2009",Warner Bros.,Action
Public Enemies,Public Enemies,"Jul 1, 2009",Universal,Drama
Julie & Julia,Julie & Julia,"Aug 7, 2009",Sony Pictures,Comedy
He's Just Not That Into You,He's Just Not That I,"Feb 6, 2009",Warner Bros.,Romantic Comedy
Madea Goes To Jail,Madea Goes To Jail,"Feb 20, 2009",Lionsgate,Comedy
The Ugly Truth,The Ugly Truth,"Jul 24, 2009",Sony Pictures,Romantic Comedy
The Princess and the Frog,The Princess and the,"Dec 11, 2009",Walt Disney,Adventure
Knowing,Knowing,"Mar 20, 2009",Summit Entertainment,Thriller/Suspense
Hannah Montana: The Movie,Hannah Montana: The ,"Apr 10, 2009",Walt Disney,Drama
Where the Wild Things Are,Where the Wild Thing,"Oct 16, 2009",Warner Bros.,Adventure
Zombieland,Zombieland,"Oct 2, 2009",Sony Pictures,Comedy
Coraline,Coraline,"Feb 6, 2009",Focus Features,Adventure
Hotel for Dogs,Hotel for Dogs,"Jan 16, 2009",Paramount Pictures,Comedy
Law Abiding Citizen,Law Abiding Citizen,"Oct 16, 2009",Overture Films,Thriller/Suspense
Michael Jackson's This Is It,Michael Jackson's Th,"Oct 28, 2009",Sony Pictures,Documentary
"I Love You, Man","I Love You, Man","Mar 20, 2009",Paramount Pictures,Comedy
Obsessed,Obsessed,"Apr 24, 2009",Sony Pictures,Thriller/Suspense
Race to Witch Mountain,Race to Witch Mounta,"Mar 13, 2009",Walt Disney,Adventure
The Final Destination,The Final Destinatio,"Aug 28, 2009",Warner Bros.,Horror
The Taking of Pelham 123,The Taking of Pelham,"Jun 12, 2009",Sony Pictures,Action
Friday the 13th,Friday the 13th,"Feb 13, 2009",Warner Bros.,Horror
17 Again,17 Again,"Apr 17, 2009",Warner Bros.,Comedy
