Movie,trunc,Release Date,Distributor,Genre
Spider-Man 3,Spider-Man 3,"May 4, 2007",Sony Pictures,Adventure
Shrek the Third,Shrek the Third,"May 17, 2007",Paramount Pictures,Adventure
Transformers,Transformers,"Jul 2, 2007",Paramount Pictures,Action
Pirates of the Caribbean: A…,Pirates of the Carib,"May 24, 2007",Walt Disney,Adventure
Harry Potter and the Order …,Harry Potter and the,"Jul 11, 2007",Warner Bros.,Adventure
The Bourne Ultimatum,The Bourne Ultimatum,"Aug 3, 2007",Universal,Thriller/Suspense
300,300,"Mar 9, 2007",Warner Bros.,Action
Ratatouille,Ratatouille,"Jun 29, 2007",Walt Disney,Adventure
I am Legend,I am Legend,"Dec 14, 2007",Warner Bros.,Thriller/Suspense
The Simpsons Movie,The Simpsons Movie,"Jul 27, 2007",20th Century Fox,Comedy
National Treasure: Book of …,National Treasure: B,"Dec 21, 2007",Walt Disney,Adventure
Wild Hogs,Wild Hogs,"Mar 2, 2007",Walt Disney,Comedy
Alvin and the Chipmunks,Alvin and the Chipmu,"Dec 14, 2007",20th Century Fox,Adventure
Knocked Up,Knocked Up,"Jun 1, 2007",Universal,Romantic Comedy
Rush Hour 3,Rush Hour 3,"Aug 10, 2007",New Line,Action
Night at the Museum,Night at the Museum,"Dec 22, 2006",20th Century Fox,Adventure
Live Free or Die Hard,Live Free or Die Har,"Jun 27, 2007",20th Century Fox,Action
Fantastic Four: Rise of the…,Fantastic Four: Rise,"Jun 15, 2007",20th Century Fox,Action
American Gangster,American Gangster,"Nov 2, 2007",Universal,Drama
Bee Movie,Bee Movie,"Nov 2, 2007",Paramount Pictures,Adventure
Superbad,Superbad,"Aug 17, 2007",Sony Pictures,Comedy
Enchanted,Enchanted,"Nov 21, 2007",Walt Disney,Adventure
I Now Pronounce You Chuck a…,I Now Pronounce You ,"Jul 20, 2007",Universal,Comedy
Hairspray,Hairspray,"Jul 20, 2007",New Line,Musical
Blades of Glory,Blades of Glory,"Mar 30, 2007",Paramount Pictures,Comedy
Ocean's Thirteen,Ocean's Thirteen,"Jun 8, 2007",Warner Bros.,Adventure
Ghost Rider,Ghost Rider,"Feb 16, 2007",Sony Pictures,Action
Evan Almighty,Evan Almighty,"Jun 22, 2007",Universal,Comedy
Meet the Robinsons,Meet the Robinsons,"Mar 30, 2007",Walt Disney,Adventure
Norbit,Norbit,"Feb 9, 2007",Paramount Pictures,Comedy
The Game Plan,The Game Plan,"Sep 28, 2007",Walt Disney,Comedy
Bridge to Terabithia,Bridge to Terabithia,"Feb 16, 2007",Walt Disney,Drama
Beowulf,Beowulf,"Nov 16, 2007",Paramount Pictures,Adventure
Disturbia,Disturbia,"Apr 13, 2007",Paramount Pictures,Thriller/Suspense
1408,1408,"Jun 22, 2007",MGM,Horror
Fred Claus,Fred Claus,"Nov 9, 2007",Warner Bros.,Comedy
Dreamgirls,Dreamgirls,"Dec 25, 2006",Paramount Pictures,Musical
His Dark Materials: The Gol…,His Dark Materials: ,"Dec 7, 2007",New Line,Adventure
The Pursuit of Happyness,The Pursuit of Happy,"Dec 15, 2006",Sony Pictures,Drama
Saw IV,Saw IV,"Oct 26, 2007",Lionsgate,Horror
Stomp the Yard,Stomp the Yard,"Jan 12, 2007",Sony Pictures,Drama
Surf’s Up,Surf’s Up,"Jun 8, 2007",Sony Pictures,Adventure
Halloween,Halloween,"Aug 31, 2007",MGM,Horror
Why Did I Get Married?,Why Did I Get Marrie,"Oct 12, 2007",Lionsgate,Comedy
TMNT,TMNT,"Mar 23, 2007",Warner Bros.,Action
3:10 to Yuma,3:10 to Yuma,"Sep 7, 2007",Lionsgate,Western
Resident Evil: Extinction,Resident Evil: Extin,"Sep 21, 2007",Sony Pictures,Horror
Music and Lyrics,Music and Lyrics,"Feb 14, 2007",Warner Bros.,Romantic Comedy
Are We Done Yet?,Are We Done Yet?,"Apr 4, 2007",Sony Pictures,Comedy
This Christmas,This Christmas,"Nov 21, 2007",Sony Pictures,Drama
Premonition,Premonition,"Mar 16, 2007",Sony Pictures,Thriller/Suspense
The Kingdom,The Kingdom,"Sep 28, 2007",Universal,Action
Dan in Real Life,Dan in Real Life,"Oct 26, 2007",Walt Disney,Romantic Comedy
Shooter,Shooter,"Mar 23, 2007",Paramount Pictures,Thriller/Suspense
No Country for Old Men,No Country for Old M,"Nov 21, 2007",Miramax,Western
License to Wed,License to Wed,"Jul 3, 2007",Warner Bros.,Romantic Comedy
Underdog,Underdog,"Aug 3, 2007",Walt Disney,Adventure
No Reservations,No Reservations,"Jul 27, 2007",Warner Bros.,Romantic Comedy
Because I Said So,Because I Said So,"Feb 2, 2007",Universal,Romantic Comedy
Charlie Wilson's War,Charlie Wilson's War,"Dec 21, 2007",Universal,Comedy
Epic Movie,Epic Movie,"Jan 26, 2007",20th Century Fox,Comedy
30 Days of Night,30 Days of Night,"Oct 19, 2007",Sony Pictures,Horror
Hitman,Hitman,"Nov 21, 2007",20th Century Fox,Action
Michael Clayton,Michael Clayton,"Oct 12, 2007",Warner Bros.,Drama
Fracture,Fracture,"Apr 20, 2007",New Line,Thriller/Suspense
Stardust,Stardust,"Aug 10, 2007",Paramount Pictures,Adventure
Pan's Labyrinth,Pan's Labyrinth,"Dec 29, 2006",Picturehouse,Horror
The Brave One,The Brave One,"Sep 14, 2007",Warner Bros.,Thriller/Suspense
The Heartbreak Kid,The Heartbreak Kid,"Oct 5, 2007",Paramount Pictures,Romantic Comedy
Freedom Writers,Freedom Writers,"Jan 5, 2007",Paramount Pictures,Drama
Smokin' Aces,Smokin' Aces,"Jan 26, 2007",Universal,Comedy
The Messengers,The Messengers,"Feb 2, 2007",Sony Pictures,Horror
The Number 23,The Number 23,"Feb 23, 2007",New Line,Thriller/Suspense
Good Luck Chuck,Good Luck Chuck,"Sep 21, 2007",Lionsgate,Romantic Comedy
Children of Men,Children of Men,"Dec 25, 2006",Universal,Thriller/Suspense
Mr. Bean’s Holiday,Mr. Bean’s Holiday,"Aug 24, 2007",Universal,Adventure
Zodiac,Zodiac,"Mar 2, 2007",Paramount Pictures,Drama
Breach,Breach,"Feb 16, 2007",Universal,Thriller/Suspense
Balls of Fury,Balls of Fury,"Aug 29, 2007",Focus Features,Comedy
Juno,Juno,"Dec 5, 2007",Fox Searchlight,Comedy
Daddy's Little Girls,Daddy's Little Girls,"Feb 14, 2007",Lionsgate,Drama
Mr. Magorium's Wonder Emporium,Mr. Magorium's Wonde,"Nov 16, 2007",20th Century Fox,Comedy
The Water Horse: Legend of …,The Water Horse: Leg,"Dec 25, 2007",Sony Pictures,Adventure
Sweeney Todd: The Demon Bar…,Sweeney Todd: The De,"Dec 21, 2007",Paramount Pictures,Musical
Aliens vs. Predator - Requiem,Aliens vs. Predator ,"Dec 25, 2007",20th Century Fox,Action
August Rush,August Rush,"Nov 21, 2007",Warner Bros.,Drama
Charlotte's Web,Charlotte's Web,"Dec 15, 2006",Paramount Pictures,Drama
28 Weeks Later,28 Weeks Later,"May 11, 2007",20th Century Fox,Horror
We Own the Night,We Own the Night,"Oct 12, 2007",Sony Pictures,Action
Mr. Brooks,Mr. Brooks,"Jun 1, 2007",MGM,Thriller/Suspense
The Queen,The Queen,"Sep 30, 2006",Miramax,Drama
"P.S., I Love You","P.S., I Love You","Dec 21, 2007",Warner Bros.,Romantic Comedy
Hannibal Rising,Hannibal Rising,"Feb 9, 2007",Weinstein Co.,Thriller/Suspense
The Nanny Diaries,The Nanny Diaries,"Aug 24, 2007",MGM,Comedy
Mr. Woodcock,Mr. Woodcock,"Sep 14, 2007",New Line,Comedy
Nancy Drew,Nancy Drew,"Jun 15, 2007",Warner Bros.,Adventure
The Mist,The Mist,"Nov 21, 2007",MGM,Horror
The Reaping,The Reaping,"Apr 5, 2007",Warner Bros.,Horror
Grindhouse,Grindhouse,"Apr 6, 2007",Weinstein/Dimension,Multiple Genres
The Good Shepherd,The Good Shepherd,"Dec 22, 2006",Universal,Drama
Sicko,Sicko,"Jun 29, 2007",Lionsgate,Documentary
Across the Universe,Across the Universe,"Sep 14, 2007",Sony Pictures,Musical
Perfect Stranger,Perfect Stranger,"Apr 13, 2007",Sony Pictures,Thriller/Suspense
Hot Fuzz,Hot Fuzz,"Apr 20, 2007",Focus Features,Comedy
War,War,"Aug 24, 2007",Lionsgate,Action
Rocky Balboa,Rocky Balboa,"Dec 20, 2006",MGM,Drama
Happy Feet,Happy Feet,"Nov 17, 2006",Warner Bros.,Musical
The Great Debaters,The Great Debaters,"Dec 25, 2007",Weinstein Co.,Drama
Blood Diamond,Blood Diamond,"Dec 8, 2006",Warner Bros.,Action
The Last Mimzy,The Last Mimzy,"Mar 23, 2007",New Line,Adventure
Amazing Grace,Amazing Grace,"Feb 23, 2007",Samuel Goldwyn Films,Drama
The Hills Have Eyes II,The Hills Have Eyes ,"Mar 23, 2007",20th Century Fox,Horror
The Invisible,The Invisible,"Apr 27, 2007",Walt Disney,Thriller/Suspense
Reno 911!: Miami,Reno 911!: Miami,"Feb 23, 2007",20th Century Fox,Comedy
Gone Baby Gone,Gone Baby Gone,"Oct 19, 2007",Miramax,Drama
Reign Over Me,Reign Over Me,"Mar 23, 2007",Sony Pictures,Drama
Atonement,Atonement,"Dec 7, 2007",Focus Features,Drama
Waitress,Waitress,"May 2, 2007",Fox Searchlight,Romantic Comedy
Vacancy,Vacancy,"Apr 20, 2007",Sony Pictures,Thriller/Suspense
Georgia Rule,Georgia Rule,"May 11, 2007",Universal,Drama
Becoming Jane,Becoming Jane,"Aug 3, 2007",Miramax,Drama
Eragon,Eragon,"Dec 15, 2006",20th Century Fox,Adventure
We Are Marshall,We Are Marshall,"Dec 22, 2006",Warner Bros.,Drama
Next,Next,"Apr 27, 2007",Paramount Pictures,Action
Hostel: Part II,Hostel: Part II,"Jun 8, 2007",Lionsgate,Horror
Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey,"Dec 21, 2007",Sony Pictures,Comedy
Eastern Promises,Eastern Promises,"Sep 14, 2007",Focus Features,Thriller/Suspense
Into the Wild,Into the Wild,"Sep 21, 2007",Paramount Vantage,Drama
Notes on a Scandal,Notes on a Scandal,"Dec 25, 2006",Fox Searchlight,Drama
Dead Silence,Dead Silence,"Mar 16, 2007",Universal,Horror
The Hitcher,The Hitcher,"Jan 19, 2007",Focus Features,Thriller/Suspense
