Movie,trunc,Release Date,Distributor,Genre
Toy Story 3,Toy Story 3,"Jun 18, 2010",Walt Disney,Adventure
Avatar,Avatar,"Dec 18, 2009",20th Century Fox,Action
Alice in Wonderland,Alice in Wonderland,"Mar 5, 2010",Walt Disney,Adventure
Iron Man 2,Iron Man 2,"May 7, 2010",Paramount Pictures,Action
The Twilight Saga: Eclipse,The Twilight Saga: E,"Jun 30, 2010",Summit Entertainment,Drama
Inception,Inception,"Jul 16, 2010",Warner Bros.,Thriller/Suspense
Harry Potter and the Deathl…,Harry Potter and the,"Nov 19, 2010",Warner Bros.,Adventure
Despicable Me,Despicable Me,"Jul 9, 2010",Universal,Adventure
Shrek Forever After,Shrek Forever After,"May 21, 2010",Paramount Pictures,Adventure
How to Train Your Dragon,How to Train Your Dr,"Mar 26, 2010",Paramount Pictures,Adventure
The Karate Kid,The Karate Kid,"Jun 11, 2010",Sony Pictures,Action
Tangled,Tangled,"Nov 24, 2010",Walt Disney,Adventure
Clash of the Titans,Clash of the Titans,"Apr 1, 2010",Warner Bros.,Action
Grown Ups,Grown Ups,"Jun 25, 2010",Sony Pictures,Comedy
MegaMind,MegaMind,"Nov 5, 2010",Paramount Pictures,Adventure
The Last Airbender,The Last Airbender,"Jul 1, 2010",Paramount Pictures,Adventure
Tron: Legacy,Tron: Legacy,"Dec 17, 2010",Walt Disney,Adventure
Shutter Island,Shutter Island,"Feb 19, 2010",Paramount Pictures,Thriller/Suspense
The Other Guys,The Other Guys,"Aug 6, 2010",Sony Pictures,Comedy
Salt,Salt,"Jul 23, 2010",Sony Pictures,Thriller/Suspense
Jackass 3D,Jackass 3D,"Oct 15, 2010",Paramount Pictures,Comedy
Valentine's Day,Valentine's Day,"Feb 12, 2010",Warner Bros.,Romantic Comedy
Robin Hood,Robin Hood,"May 14, 2010",Universal,Action
The Expendables,The Expendables,"Aug 13, 2010",Lionsgate,Action
Little Fockers,Little Fockers,"Dec 22, 2010",Universal,Comedy
Due Date,Due Date,"Nov 5, 2010",Warner Bros.,Comedy
Date Night,Date Night,"Apr 9, 2010",20th Century Fox,Comedy
Sex and the City 2,Sex and the City 2,"May 27, 2010",Warner Bros.,Comedy
The Book of Eli,The Book of Eli,"Jan 15, 2010",Warner Bros.,Action
The Social Network,The Social Network,"Oct 1, 2010",Sony Pictures,Drama
The Town,The Town,"Sep 17, 2010",Warner Bros.,Thriller/Suspense
Prince of Persia: Sands of …,Prince of Persia: Sa,"May 28, 2010",Walt Disney,Action
Red,Red,"Oct 15, 2010",Summit Entertainment,Action
Percy Jackson & the Olympia…,Percy Jackson & the ,"Feb 12, 2010",20th Century Fox,Adventure
The Chronicles of Narnia: T…,The Chronicles of Na,"Dec 10, 2010",20th Century Fox,Adventure
True Grit,True Grit,"Dec 22, 2010",Paramount Pictures,Western
Paranormal Activity 2,Paranormal Activity ,"Oct 22, 2010",Paramount Pictures,Horror
