Movie,trunc,Release Date,Distributor,Genre
Black Panther,Black Panther,"Feb 16, 2018",Walt Disney,Action
Avengers: Infinity War,Avengers: Infinity W,"Apr 27, 2018",Walt Disney,Action
Incredibles 2,Incredibles 2,"Jun 15, 2018",Walt Disney,Adventure
Jurassic World: Fallen Kingdom,Jurassic World: Fall,"Jun 22, 2018",Universal,Action
Deadpool 2,Deadpool 2,"May 18, 2018",20th Century Fox,Action
Dr. Seuss’ The Grinch,Dr. Seuss’ The Grinc,"Nov 9, 2018",Universal,Adventure
Jumanji: Welcome to the Jungle,Jumanji: Welcome to ,"Dec 20, 2017",Sony Pictures,Adventure
Mission: Impossible—Fallout,Mission: Impossible—,"Jul 27, 2018",Paramount Pictures,Action
Ant-Man and the Wasp,Ant-Man and the Wasp,"Jul 6, 2018",Walt Disney,Action
Solo: A Star Wars Story,Solo: A Star Wars St,"May 25, 2018",Walt Disney,Adventure
Venom,Venom,"Oct 5, 2018",Sony Pictures,Action
A Star is Born,A Star is Born,"Oct 5, 2018",Warner Bros.,Drama
Aquaman,Aquaman,"Dec 21, 2018",Warner Bros.,Action
Bohemian Rhapsody,Bohemian Rhapsody,"Nov 2, 2018",20th Century Fox,Drama
A Quiet Place,A Quiet Place,"Apr 6, 2018",Paramount Pictures,Horror
Ralph Breaks The Internet,Ralph Breaks The Int,"Nov 21, 2018",Walt Disney,Adventure
Crazy Rich Asians,Crazy Rich Asians,"Aug 15, 2018",Warner Bros.,Romantic Comedy
Hotel Transylvania 3: Summe…,Hotel Transylvania 3,"Jul 13, 2018",Sony Pictures,Adventure
Halloween,Halloween,"Oct 19, 2018",Universal,Horror
Fantastic Beasts: The Crime…,Fantastic Beasts: Th,"Nov 16, 2018",Warner Bros.,Adventure
The Meg,The Meg,"Aug 10, 2018",Warner Bros.,Action
Ocean’s 8,Ocean’s 8,"Jun 8, 2018",Warner Bros.,Comedy
Mary Poppins Returns,Mary Poppins Returns,"Dec 19, 2018",Walt Disney,Musical
Ready Player One,Ready Player One,"Mar 29, 2018",Warner Bros.,Adventure
Spider-Man: Into The Spider…,Spider-Man: Into The,"Dec 14, 2018",Sony Pictures,Adventure
The Greatest Showman,The Greatest Showman,"Dec 20, 2017",20th Century Fox,Musical
Mamma Mia: Here We Go Again!,Mamma Mia: Here We G,"Jul 20, 2018",Universal,Musical
The Nun,The Nun,"Sep 7, 2018",Warner Bros.,Horror
Peter Rabbit,Peter Rabbit,"Feb 9, 2018",Sony Pictures,Adventure
Creed II,Creed II,"Nov 21, 2018",MGM,Drama
Star Wars Ep. VIII: The Las…,Star Wars Ep. VIII: ,"Dec 15, 2017",Walt Disney,Adventure
The Equalizer 2,The Equalizer 2,"Jul 20, 2018",Sony Pictures,Action
Rampage,Rampage,"Apr 13, 2018",Warner Bros.,Action
A Wrinkle in Time,A Wrinkle in Time,"Mar 9, 2018",Walt Disney,Adventure
Fifty Shades Freed,Fifty Shades Freed,"Feb 9, 2018",Universal,Drama
Christopher Robin,Christopher Robin,"Aug 3, 2018",Walt Disney,Adventure
I Can Only Imagine,I Can Only Imagine,"Mar 16, 2018",Roadside Attractions,Drama
Smallfoot,Smallfoot,"Sep 28, 2018",Warner Bros.,Adventure
The Post,The Post,"Dec 22, 2017",20th Century Fox,Drama
Night School,Night School,"Sep 28, 2018",Universal,Comedy
Bumblebee,Bumblebee,"Dec 21, 2018",Paramount Pictures,Adventure
