Movie,trunc,Release Date,Distributor,Genre
Inside Out 2,Inside Out 2,"Jun 14, 2024",Walt Disney,Adventure
Deadpool & Wolverine,Deadpool & Wolverine,"Jul 26, 2024",Walt Disney,Action
Wicked,Wicked,"Nov 22, 2024",Universal,Musical
Moana 2,Moana 2,"Nov 27, 2024",Walt Disney,Musical
Despicable Me 4,Despicable Me 4,"Jul 3, 2024",Universal,Adventure
Beetlejuice Beetlejuice,Beetlejuice Beetleju,"Sep 6, 2024",Warner Bros.,Comedy
Dune: Part Two,Dune: Part Two,"Mar 1, 2024",Warner Bros.,Action
Twisters,Twisters,"Jul 19, 2024",Universal,Thriller/Suspense
Godzilla x Kong: The New Em…,Godzilla x Kong: The,"Mar 29, 2024",Warner Bros.,Action
Kung Fu Panda 4,Kung Fu Panda 4,"Mar 8, 2024",Universal,Comedy
Bad Boys: Ride or Die,Bad Boys: Ride or Di,"Jun 7, 2024",Sony Pictures,Action
Kingdom of the Planet of th…,Kingdom of the Plane,"May 10, 2024",20th Century Studios,Action
Gladiator II,Gladiator II,"Nov 22, 2024",Paramount Pictures,Action
Sonic the Hedgehog 3,Sonic the Hedgehog 3,"Dec 20, 2024",Paramount Pictures,Adventure
It Ends With Us,It Ends With Us,"Aug 9, 2024",Sony Pictures,Drama
The Wild Robot,The Wild Robot,"Sep 27, 2024",Universal,Adventure
Venom: The Last Dance,Venom: The Last Danc,"Oct 25, 2024",Sony Pictures,Action
A Quiet Place: Day One,A Quiet Place: Day O,"Jun 28, 2024",Paramount Pictures,Horror
Mufasa: The Lion King,Mufasa: The Lion Kin,"Dec 20, 2024",Walt Disney,Musical
Ghostbusters: Frozen Empire,Ghostbusters: Frozen,"Mar 22, 2024",Sony Pictures,Comedy
IF,IF,"May 17, 2024",Paramount Pictures,Comedy
Alien: Romulus,Alien: Romulus,"Aug 16, 2024",20th Century Studios,Horror
Bob Marley: One Love,Bob Marley: One Love,"Feb 14, 2024",Paramount Pictures,Drama
Red One,Red One,"Nov 15, 2024",Amazon MGM Studios,Action
The Fall Guy,The Fall Guy,"May 3, 2024",Universal,Action
The Garfield Movie,The Garfield Movie,"May 24, 2024",Sony Pictures,Adventure
Wonka,Wonka,"Dec 15, 2023",Warner Bros.,Musical
Longlegs,Longlegs,"Jul 12, 2024",Neon,Horror
Migration,Migration,"Dec 22, 2023",Universal,Adventure
Mean Girls,Mean Girls,"Jan 12, 2024",Paramount Pictures,Musical
Smile 2,Smile 2,"Oct 18, 2024",Paramount Pictures,Horror
Civil War,Civil War,"Apr 12, 2024",A24,Action
Furiosa: A Mad Max Saga,Furiosa: A Mad Max S,"May 24, 2024",Warner Bros.,Action
The Beekeeper,The Beekeeper,"Jan 12, 2024",Amazon MGM Studios,Action
Anyone But You,Anyone But You,"Dec 22, 2023",Sony Pictures,Romantic Comedy
Transformers One,Transformers One,"Sep 20, 2024",Paramount Pictures,Adventure
Joker: Folie à Deux,Joker: Folie à Deux,"Oct 4, 2024",Warner Bros.,Thriller/Suspense
Terrifier 3,Terrifier 3,"Oct 11, 2024",Iconic/Cineverse,Horror
Challengers,Challengers,"Apr 26, 2024",Amazon MGM Studios,Drama
Nosferatu,Nosferatu,"Dec 25, 2024",Focus Features,Horror
Aquaman and the Lost Kingdom,Aquaman and the Lost,"Dec 22, 2023",Warner Bros.,Action
Argylle,Argylle,"Feb 2, 2024",Universal,Action
Madame Web,Madame Web,"Feb 14, 2024",Sony Pictures,Action
Trap,Trap,"Aug 2, 2024",Warner Bros.,Thriller/Suspense
The Best Christmas Pageant …,The Best Christmas P,"Nov 8, 2024",Lionsgate,Comedy
Speak No Evil,Speak No Evil,"Sep 13, 2024",Universal,Horror
The Strangers: Chapter 1,The Strangers: Chapt,"May 17, 2024",Lionsgate,Horror
Coraline,Coraline,"Feb 6, 2009",Fathom Events,Adventure
Night Swim,Night Swim,"Jan 5, 2024",Universal,Horror
Conclave,Conclave,"Oct 25, 2024",Focus Features,Thriller/Suspense
The Boys in the Boat,The Boys in the Boat,"Dec 25, 2023",Amazon MGM Studios,Drama
Reagan,Reagan,"Aug 30, 2024",ShowBiz Direct,Drama
The Forge,The Forge,"Aug 23, 2024",Sony Pictures,Drama
Horizon: An American Saga C…,Horizon: An American,"Jun 28, 2024",Warner Bros.,Western
A Complete Unknown,A Complete Unknown,"Dec 25, 2024",Searchlight Pictures,Drama
Imaginary,Imaginary,"Mar 8, 2024",Lionsgate,Horror
Heretic,Heretic,"Nov 8, 2024",A24,Horror
Abigail,Abigail,"Apr 19, 2024",Universal,Horror
Monkey Man,Monkey Man,"Apr 5, 2024",Universal,Thriller/Suspense
Arthur the King,Arthur the King,"Mar 15, 2024",Lionsgate,Adventure
We Live in Time,We Live in Time,"Oct 11, 2024",A24,Drama
Poor Things,Poor Things,"Dec 8, 2023",Searchlight Pictures,Black Comedy
Blink Twice,Blink Twice,"Aug 23, 2024",Amazon MGM Studios,Thriller/Suspense
Kraven the Hunter,Kraven the Hunter,"Dec 13, 2024",Sony Pictures,Action
The Bikeriders,The Bikeriders,"Jun 21, 2024",Focus Features,Drama
The Ministry of Ungentleman…,The Ministry of Unge,"Apr 19, 2024",Lionsgate,Action
Fly Me to the Moon,Fly Me to the Moon,"Jul 12, 2024",Sony Pictures,Romantic Comedy
Unsung Hero,Unsung Hero,"Apr 26, 2024",Lionsgate,Drama
The First Omen,The First Omen,"Apr 5, 2024",20th Century Studios,Horror
The Iron Claw,The Iron Claw,"Dec 22, 2023",A24,Drama
Cabrini,Cabrini,"Mar 8, 2024",Angel Studios,Drama
American Fiction,American Fiction,"Dec 15, 2023",Amazon MGM Studios,Comedy
Ordinary Angels,Ordinary Angels,"Feb 23, 2024",Lionsgate,Drama
The Watchers,The Watchers,"Jun 7, 2024",Warner Bros.,Horror
Tarot,Tarot,"May 3, 2024",Sony Pictures,Horror
Kalki 2898-AD,Kalki 2898-AD,"Jun 27, 2024",Prathyangira Cine…,Action
Demon Slayer: Kimetsu no Ya…,Demon Slayer: Kimets,"Feb 23, 2024",Crunchyroll,Action
Harold and the Purple Crayon,Harold and the Purpl,"Aug 2, 2024",Sony Pictures,Adventure
The Color Purple,The Color Purple,"Dec 25, 2023",Warner Bros.,Musical
The Substance,The Substance,"Sep 20, 2024",MUBI,Horror
Immaculate,Immaculate,"Mar 22, 2024",Neon,Horror
Borderlands,Borderlands,"Aug 9, 2024",Lionsgate,Action
Interstellar,Interstellar,"Nov 7, 2014",Paramount Pictures,Adventure
MaXXXine,MaXXXine,"Jul 5, 2024",A24,Horror
The Chosen: Season 4 Episod…,The Chosen: Season 4,"Feb 1, 2024",Fathom Events,Drama
Anora,Anora,"Oct 18, 2024",Neon,Comedy
Homestead,Homestead,"Dec 20, 2024",Angel Studios,Drama
Star Wars Ep. I: The Phanto…,Star Wars Ep. I: The,"May 19, 1999",20th Century Studios,Adventure
Pushpa: The Rule — Part 2,Pushpa: The Rule — P,"Dec 5, 2024",Prathyangira Cine…,Action
Am I Racist?,Am I Racist?,"Sep 13, 2024",SDG Releasing,Documentary
Here,Here,"Nov 1, 2024",Sony Pictures,Drama
Bonhoeffer: Pastor. Spy. As…,Bonhoeffer: Pastor. ,"Nov 22, 2024",Angel Studios,Thriller/Suspense
Sound of Hope: The Story of…,Sound of Hope: The S,"Jul 4, 2024",Angel Studios,Drama
Godzilla Minus One,Godzilla Minus One,"Dec 1, 2023",Toho International,Action
The Boy and the Heron,The Boy and the Hero,"Dec 8, 2023",GKIDS,Adventure
Never Let Go,Never Let Go,"Sep 20, 2024",Lionsgate,Horror
Late Night with the Devil,Late Night with the ,"Mar 22, 2024",IFC Films,Horror
Lisa Frankenstein,Lisa Frankenstein,"Feb 9, 2024",Focus Features,Comedy
Piece by Piece,Piece by Piece,"Oct 11, 2024",Focus Features,Documentary
Saturday Night,Saturday Night,"Oct 11, 2024",Sony Pictures,Comedy
The Chosen: Season 4 Episod…,The Chosen: Season 4,"Feb 15, 2024",Fathom Events,Drama
The Crow,The Crow,"Aug 23, 2024",Lionsgate,Action
Babygirl,Babygirl,"Dec 25, 2024",A24,Thriller/Suspense
Thelma,Thelma,"Jun 21, 2024",Magnolia Pictures,Action
The Lord of the Rings: The …,The Lord of the Ring,"Dec 13, 2024",Warner Bros.,Adventure
The Zone of Interest,The Zone of Interest,"Dec 15, 2023",A24,Drama
Spy x Family Code: White,Spy x Family Code: W,"Apr 19, 2024",Crunchyroll,Action
Love Lies Bleeding,Love Lies Bleeding,"Mar 8, 2024",A24,Thriller/Suspense
Ferrari,Ferrari,"Dec 25, 2023",Neon,Drama
The Chosen: Season 4 Episod…,The Chosen: Season 4,"Feb 29, 2024",Fathom Events,Drama
A Real Pain,A Real Pain,"Nov 1, 2024",Searchlight Pictures,Comedy
Megalopolis,Megalopolis,"Sep 27, 2024",Lionsgate,Drama
Sight,Sight,"May 24, 2024",Angel Studios,Drama
Haikyu!! The Dumpster Battle,Haikyu!! The Dumpste,"May 31, 2024",Crunchyroll,Drama
Afraid,Afraid,"Aug 30, 2024",Sony Pictures,Horror
The Hunger Games: The Balla…,The Hunger Games: Th,"Nov 17, 2023",Lionsgate,Action
I.S.S.,I.S.S.,"Jan 19, 2024",Bleecker Street,Thriller/Suspense
Cuckoo,Cuckoo,"Aug 9, 2024",Neon,Horror
Back to Black,Back to Black,"May 17, 2024",Focus Features,Drama
The Book of Clarence,The Book of Clarence,"Jan 12, 2024",Sony Pictures,Comedy
The Nightmare Before Christmas,The Nightmare Before,"Oct 13, 1993",Walt Disney,Musical
The Mummy,The Mummy,"May 7, 1999",Universal,Adventure
Someone Like You,Someone Like You,"Apr 2, 2024",Fathom Events,Drama
One Life,One Life,"Mar 15, 2024",Bleecker Street,Drama
Devara Part 1,Devara Part 1,"Sep 27, 2024",Prathyangira Cine…,Action
The Killer’s Game,The Killer’s Game,"Sep 13, 2024",Lionsgate,Action
My Old Ass,My Old Ass,"Sep 13, 2024",Amazon MGM Studios,Comedy
The Lion King,The Lion King,"Jun 15, 1994",Walt Disney,Adventure
White Bird: A Wonder Story,White Bird: A Wonder,"Oct 4, 2024",Lionsgate,Drama
My Hero Academia the Movie:…,My Hero Academia the,"Oct 11, 2024",Toho International,Adventure
Kinds of Kindness,Kinds of Kindness,"Jun 21, 2024",Searchlight Pictures,Comedy
Drive-Away Dolls,Drive-Away Dolls,"Feb 23, 2024",Focus Features,Comedy
The Fire Inside,The Fire Inside,"Dec 25, 2024",Amazon MGM Studios,Drama
Wicked Little Letters,Wicked Little Letter,"Mar 29, 2024",Sony Pictures Cla…,Black Comedy
I Saw the TV Glow,I Saw the TV Glow,"May 3, 2024",A24,Horror
Dìdi (弟弟),Dìdi (),"Jul 26, 2024",Focus Features,Drama
"Hello, Love, Again","Hello, Love, Again","Nov 15, 2024",Abramorama Films,Drama
Origin,Origin,"Dec 8, 2023",Neon,Drama
Land of Bad,Land of Bad,"Feb 16, 2024",The Avenue Entert…,Action
The Exorcism,The Exorcism,"Jun 21, 2024",Vertical Entertai…,Horror
In a Violent Nature,In a Violent Nature,"May 31, 2024",IFC Films,Horror
Fighter,Fighter,"Jan 25, 2024",Viacom18 Motion P…,Action
Guntur Kaaram,Guntur Kaaram,"Jan 12, 2024",Prathyangira Cine…,Action
The Apprentice,The Apprentice,"Oct 11, 2024",Briarcliff Entert…,Drama
Babes,Babes,"May 17, 2024",Neon,Comedy
Perfect Days,Perfect Days,"Nov 10, 2023",Neon,Drama
Y2K,Y2K,"Dec 6, 2024",A24,Comedy
Oppenheimer,Oppenheimer,"Jul 21, 2023",Universal,Drama
All of Us Strangers,All of Us Strangers,"Dec 22, 2023",Searchlight Pictures,Drama
The Front Room,The Front Room,"Sep 6, 2024",A24,Horror
Wish,Wish,"Nov 22, 2023",Walt Disney,Adventure
Solo Leveling -ReAwakening-,Solo Leveling -ReAwa,"Dec 6, 2024",Sony Pictures,Action
God’s Not Dead: In God We T…,God’s Not Dead: In G,"Sep 12, 2024",Fathom Events,Drama
