link,Production Budget,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Franchise
https://www.the-numbers.com/movie/Shi-gu-(China)(2014)#tab=summary,,Not Rated,110 minutes,Drama,Live Action,Historical Fiction,"Huayi Brothers International,Young & Saint Films,Focus Films,Chongquing Film Group,Navigation Era Cultural Communication Co.,Good Friends Entertainment Sdn Bhd",China,Mandarin,"March 19, 2015",
https://www.the-numbers.com/movie/Doraemon-Nobita-and-the-Space-Heroes-(2015-Japan)#tab=summary,,,100 minutes,Adventure,Hand Animation,Kids Fiction,,Japan,Japanese,"March 06, 2015",Doraemon
https://www.the-numbers.com/movie/Tanu-Weds-Manu-Returns#tab=summary,,Not Rated,128 minutes,Romantic Comedy,Live Action,Contemporary Fiction,Colour Yellow Pictures,India,Hindi,"May 21, 2015",Tanu Weds Manu
https://www.the-numbers.com/movie/Selfless-(2014)#tab=summary,"$26,000,000","PG-13for sequences of violence, some sexuality, and language.(Rating bulletin 2362, 2/25/2015)",117 minutes,Thriller/Suspense,Live Action,Science Fiction,Ram Bergman Productions,United States,English,"June 08, 2015",
https://www.the-numbers.com/movie/Amy-(2015)#tab=summary,,"Rfor language and drug material.(Rating bulletin 2374, 5/20/2015)",127 minutes,Documentary,Live Action,Factual,On The Corner Films,United Kingdom,English,"July 02, 2015",
https://www.the-numbers.com/movie/Clan-El#tab=summary,"$5,500,000","Rfor violence, language and a scene of sexuality/nudity.(Rating bulletin 2391, 9/16/2015)",108 minutes,Drama,Live Action,Dramatization,"Fox International Productions,Kramer & Sigman Films,Matanza Cine,El Deseo,Telefonica Studios,Telefe","Argentina,Spain",Spanish,"August 13, 2015",
https://www.the-numbers.com/movie/Black-or-White#tab=summary,"$9,000,000","PG-13on appeal for brief strong language, thematic material
involving drug use and drinking, and for a
fight.(Rating bulletin 2329, 7/2/2014)",121 minutes,Drama,Live Action,Contemporary Fiction,"Treehouse Films,Sunlight Productions,IM Global",United States,English,"December 03, 2014",
https://www.the-numbers.com/movie/Sheng-Tang-Wei-Ji-(China)(2015)#tab=summary,,,122 minutes,Drama,Live Action,Historical Fiction,,"China,Republic of Korea",Mandarin,"July 29, 2015",
https://www.the-numbers.com/movie/Ich-bin-dann-mal-weg#tab=summary,,,92 minutes,Comedy,Live Action,Contemporary Fiction,,Germany,German,"December 24, 2015",
https://www.the-numbers.com/movie/Scouts-Guide-to-the-Zombie-Apocalypse#tab=summary,"$15,000,000","Rfor zombie violence and gore, sexual material, graphic nudity, and language throughout.(Rating bulletin 2385, 8/4/2015)",93 minutes,Comedy,Live Action,Fantasy,"Paramount Pictures,Broken Road",United States,English,"October 29, 2015",
https://www.the-numbers.com/movie/45-Years#tab=summary,,"Rfor language and brief sexuality.(Rating bulletin 2399 (Cert #50142), 11/11/2015)",95 minutes,Drama,Live Action,Contemporary Fiction,"Film4,BFI,Creative England,The Bureau",United Kingdom,English,"August 28, 2015",
https://www.the-numbers.com/movie/Oneului-yeonae-(South-Korea)-(2015)#tab=summary,,,118 minutes,,,,,Republic of Korea,,"January 16, 2015",
https://www.the-numbers.com/movie/Kiseijuu-Kanketsuhen#tab=summary,,,117 minutes,Horror,Live Action,Science Fiction,,Japan,Japanese,"April 24, 2015",Kiseijuu
https://www.the-numbers.com/movie/Daeho#tab=summary,,,139 minutes,Action,Live Action,Historical Fiction,,Republic of Korea,Korean,"December 16, 2015",
https://www.the-numbers.com/movie/Xiao-shi-de-xiong-shou-(Hong-Kong)-(2015)#tab=summary,,,120 minutes,Thriller/Suspense,,,,Hong Kong,,"November 27, 2015",
https://www.the-numbers.com/movie/Deo-Pon-(South-Korea)-(2015)#tab=summary,,,115 minutes,Action,,,,Republic of Korea,,"October 16, 2015",
https://www.the-numbers.com/movie/Galaxy-Kaido-(Japan)-(2015)#tab=summary,,,110 minutes,Comedy,,Science Fiction,,Japan,Japanese,"October 23, 2015",
https://www.the-numbers.com/movie/Little-Chaos-A#tab=summary,,"Rfor some sexuality and brief nudity.(Rating bulletin 2362, 2/25/2015)",116 minutes,Drama,Live Action,Historical Fiction,"Potboiler Productions,The Bureau,Kia Jam Productions",United Kingdom,English,"March 12, 2015",
https://www.the-numbers.com/movie/Jungle-Book-The-(2016)#tab=summary,"$175,000,000","PGfor some sequences of scary action and peril.(Rating bulletin 2410 (Cert #50254), 2/3/2016)",105 minutes,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Fairview Entertainment",United States,English,"April 07, 2016",
https://www.the-numbers.com/movie/Suicide-Squad#tab=summary,"$175,000,000","PG-13for sequences of violence and action throughout, disturbing behavior, suggestive content and language.(Rating bulletin 2428 (Cert #50331), 6/8/2016)",123 minutes,Action,Animation/Live Action,Super Hero,"Warner Bros.,RatPac Entertainment,Dune Entertainment,Atlas Entertainment,DC Films",United States,English,"August 02, 2016",DC Extended Universe
https://www.the-numbers.com/movie/Ice-Age-Collision-Course#tab=summary,"$105,000,000","PGfor mild rude humor and some action/peril.(Rating bulletin 2429 (Cert #50407), 6/15/2016)",100 minutes,Adventure,Digital Animation,Kids Fiction,"20th Century Fox Animation,Blue Sky Studios",United States,English,"July 01, 2016",Ice Age
https://www.the-numbers.com/movie/Passengers-(2015)#tab=summary,"$110,000,000","PG-13for sexuality, nudity and action/peril.(Rating bulletin 2448 (Cert #50101), 10/26/2016)",116 minutes,Drama,Live Action,Science Fiction,"Columbia Pictures,LStar Capital,Village Roadshow Productions,Wanda Media,Original Film,Company Films,Start Motion Pictures",United States,English,"December 21, 2016",
https://www.the-numbers.com/movie/Cong-Ni-De-Qun-Shi-Jie-Lu-Guo-(China)#tab=summary,,Not Rated,90 minutes,Drama,Live Action,Contemporary Fiction,,China,Mandarin,"September 28, 2016",
https://www.the-numbers.com/movie/Shallows-The#tab=summary,"$13,000,000","PG-13for bloody images, intense sequences of peril, and brief strong language.(Rating bulletin 2428 (Cert #50100), 6/8/2016)",87 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"Columbia Pictures,Weimaraner Republic Pictures,Ombra Films",United States,English,"June 23, 2016",
https://www.the-numbers.com/movie/Purge-The-Election-Year#tab=summary,"$10,000,000","Rfor disturbing bloody violence and strong language.(Rating bulletin 2426 (Cert #50474), 5/25/2016)",105 minutes,Horror,Live Action,Science Fiction,"Universal Pictures,Platinum Dunes,Blumhouse,Why Not Productions",United States,English,"July 01, 2016",The Purge
https://www.the-numbers.com/movie/See-You-Tomorrow-(2016-China)#tab=summary,,,128 minutes,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,"December 23, 2016",
https://www.the-numbers.com/movie/13-Hours-The-Secret-Soldiers-of-Benghazi#tab=summary,"$50,000,000","Rfor strong combat violence throughout, bloody images, and language.(Rating bulletin 2404 (Cert #50183), 12/16/2015)",144 minutes,Thriller/Suspense,Live Action,Dramatization,"Paramount Pictures,3 Arts Entertainment,Bay Films",United States,English,"January 15, 2016",
https://www.the-numbers.com/movie/Florence-Foster-Jenkins#tab=summary,"$29,000,000","PG-13for brief suggestive material.(Rating bulletin 2435 (Cert #50258), 7/27/2016)",110 minutes,Drama,Live Action,Dramatization,"Pathe,Paramount Pictures,BBC Films,Canal Plus,Cine Plus,Qwerty Films",United States,English,"April 29, 2016",
https://www.the-numbers.com/movie/Mission-Milano-(2016-China)#tab=summary,,,102 minutes,Action,Live Action,Contemporary Fiction,,"China,Hong Kong",Mandarin,"September 30, 2016",
https://www.the-numbers.com/movie/Tik-Tok-(China)#tab=summary,,,,Thriller/Suspense,Live Action,Contemporary Fiction,,"China,Republic of Korea","Mandarin,Korean","July 15, 2016",
https://www.the-numbers.com/movie/Blade-Runner-2049#tab=summary,"$185,000,000","Rfor violence, some sexuality, nudity and language.(Rating bulletin 2488 (Cert #51152), 8/9/2017)",164 minutes,Thriller/Suspense,Live Action,Science Fiction,"Alcon Entertainment,Thunderbird Films,Columbia Pictures,Ridley Scott Associates,Bud Yorkin,Torridon Films,16:14 Entertainment",United States,English,"September 29, 2017",Blade Runner
https://www.the-numbers.com/movie/Foreigner-The-(UK-China)#tab=summary,"$35,000,000","Rfor violence, language and some sexual material.(Rating bulletin 2491 (Cert #50567), 8/30/2017)",116 minutes,Action,Live Action,Contemporary Fiction,"Huayi Brothers Pictures Ltd,Sparkle Roll Media Corporation,The Fyzz Facility,Arthur Sarkissian,The Entertainer Production Company,Wanda Media","United Kingdom,China",English,"September 29, 2017",
https://www.the-numbers.com/movie/Wukong-(China)#tab=summary,,,130 minutes,Action,Multiple Production Methods,Fantasy,,China,Mandarin,"July 14, 2017",
https://www.the-numbers.com/movie/Yao-Mao-Zhuan-(China)-(2017)#tab=summary,,Not Rated,119 minutes,Drama,Live Action,Fantasy,"Huaxia Film & Distribution Coroporation,Wanda Media,Emperor Motion Picture,Emperor Film Production,New Classic Media,Kadokawa Pictures,Beijing 21st Century Shengkai Film","China,Japan,Hong Kong","Mandarin,Japanese","December 22, 2017",
https://www.the-numbers.com/movie/Nut-Job-2-Nutty-by-Nature-The#tab=summary,"$40,000,000","PGfor action and some rude humor.(Rating bulletin 2477 (Cert #50832), 5/24/2017)",91 minutes,Adventure,Digital Animation,Kids Fiction,"Toonbox Entertainment,Red Rover Films,Gulfstream Pictures","United States,Republic of Korea,Canada",English,"August 11, 2017",The Nut Job
https://www.the-numbers.com/movie/Mountain-Between-Us-The#tab=summary,,"PG-13for a scene of sexuality, peril, injury images, and brief strong language.(Rating bulletin 2492 (Cert #50989), 9/6/2017)",104 minutes,Adventure,Live Action,Contemporary Fiction,"Chernin Entertainment,Fox 2000 Pictures",United States,English,"October 06, 2017",
https://www.the-numbers.com/movie/1987-When-the-Day-Comes-(2017-South-Korea)#tab=summary,,,129 minutes,Drama,Live Action,Dramatization,,Republic of Korea,Korean,"December 18, 2017",
https://www.the-numbers.com/movie/Ji-Qi-Zhi-Xue-(2017-China)#tab=summary,,"Rfor violence and some language.(Rating bulletin 2519 (Cert #51522), 3/21/2018)",110 minutes,Action,Live Action,Fantasy,"Heyi Pictures,Perfect Village Entertainment,Wanda Media,Jetsen Cultural Industry Group Co,Beijing Tus Film and Television Media Co,Dadi Century Co,Tianjin Funhigh Film Co","China,Hong Kong","Mandarin,English","December 21, 2017",
https://www.the-numbers.com/movie/Call-Me-by-Your-Name-(2017)#tab=summary,"$3,500,000","Rfor sexual content, nudity and some language.(Rating bulletin 2463 (Cert #50920), 2/15/2017)",131 minutes,Drama,Live Action,Historical Fiction,"RT Features,Frenesy Film,La Cinefacture","Italy,United States,Brazil,France","English,Italian,French,German","October 27, 2017",
https://www.the-numbers.com/movie/Disaster-Artist-The#tab=summary,"$10,000,000","Rfor language throughout and some sexuality/nudity.(Rating bulletin 2477 (Cert #50923), 5/24/2017)",98 minutes,Comedy,Live Action,Dramatization,"Good Universe,Point Grey,New Line Cinema,Rabbit Bandini Productions",United States,English,"December 01, 2017",
https://www.the-numbers.com/movie/Badrinath-Ki-Dulhania-(India)#tab=summary,,Not Rated,139 minutes,Comedy,Live Action,Contemporary Fiction,Fox Star Studios,India,Hindi,"March 10, 2017",
https://www.the-numbers.com/movie/Tubelight-(India)#tab=summary,,Not Rated,170 minutes,Adventure,Live Action,Contemporary Fiction,Salman Khan Films,India,Hindi,"June 23, 2017",
https://www.the-numbers.com/movie/ecole-buissonniere-L-(France)#tab=summary,,Not Rated,116 minutes,Comedy,Live Action,Historical Fiction,"Radar Films.,France 2 Cinema,StudioCanal",France,French,"October 13, 2017",
https://www.the-numbers.com/movie/Es-Por-Tu-Bien-(Spain)#tab=summary,,,93 minutes,Comedy,Live Action,Contemporary Fiction,,Spain,Spanish,"February 24, 2017",
https://www.the-numbers.com/movie/Baadshaho-(India)#tab=summary,,,124 minutes,Action,Live Action,Contemporary Fiction,,India,Hindi,"September 01, 2017",
https://www.the-numbers.com/movie/Venom-(2018)#tab=summary,"$116,000,000","PG-13for intense sequences of sci-fi violence and action, and for language.(Rating bulletin 2545 (Cert #51435), 9/19/2018)",112 minutes,Action,Animation/Live Action,Super Hero,"Columbia Pictures,Marvel Studios,Arad Productions,Matt Tolmach Productions,Pascal Pictures,Tencent Pictures",United States,English,"October 02, 2018",Sony’s Marvel UniverseVenom
https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary,"$178,000,000","PG-13for violence and intense sequences of action, and for brief strong language.(Rating bulletin 2537 (Cert #51552), 7/25/2018)",147 minutes,Action,Live Action,Contemporary Fiction,"Skydance Productions,Bad Robot,Paramount Pictures",United States,English,"July 16, 2018",Mission: Impossible
https://www.the-numbers.com/movie/Detective-Chinatown-2-(2018-China)#tab=summary,,"Rfor brief language.(Rating bulletin 2513 (Cert #51448), 2/7/2018)",121 minutes,Action,Live Action,Contemporary Fiction,,China,Mandarin,"February 16, 2018",Detective Chinatown
https://www.the-numbers.com/movie/Hotel-Transylvania-3-Summer-Vacation#tab=summary,"$65,000,000","PGfor some action and rude humor(Rating bulletin 2526 (Cert #50948), 5/9/2018)",97 minutes,Adventure,Digital Animation,Kids Fiction,"Sony Pictures Animation,Columbia Pictures",United States,English,"June 22, 2018",Hotel Transylvania
https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary,"$75,000,000","PGfor brief rude humor.(Rating bulletin 2537 (Cert #51723), 7/25/2018)",86 minutes,Adventure,Digital Animation,Kids Fiction,"Universal Pictures,Illumination Entertainment,Chris Meledandri",United States,English,"November 07, 2018",
https://www.the-numbers.com/movie/Star-is-Born-A-(2018)#tab=summary,"$36,000,000","Rfor language throughout, some sexuality/nudity and substance abuse.(Rating bulletin 2501 (Cert #51308), 11/8/2017)",140 minutes,Drama,Live Action,Contemporary Fiction,"Joint Effort,Warner Bros.,Live Nation Productions,Metro-Goldwyn-Mayer Pictures,Jon Peters,Bill Gerber",United States,English,"October 05, 2018",
https://www.the-numbers.com/movie/Spider-Man-Into-The-Spider-Verse-3D-(2018)#tab=summary,"$90,000,000","PGfor frenetic sequences of animated action violence, thematic elements,
and mild language.(Rating bulletin 2554 (Cert #51438), 11/21/2018)",117 minutes,Adventure,Digital Animation,Super Hero,"Columbia Pictures,Marvel Studios,Avi Arad,Lord Miller,Pascal Pictures,Sony Pictures Animation",United States,English,"December 07, 2018",Spider-ManSony’s Marvel Universe
https://www.the-numbers.com/movie/Peter-Rabbit-(2018)#tab=summary,"$50,000,000","PGfor mild thematic elements.(Rating bulletin 2507 (Cert #50848), 12/20/2017)",95 minutes,Adventure,Animation/Live Action,Kids Fiction,"Columbia Pictures,Olive Bridge Entertainment,Sony Pictures Animation,Animal Logic,2.0 Entertainment","United States,Australia",English,"February 08, 2018",Peter Rabbit
https://www.the-numbers.com/movie/Skyscraper#tab=summary,"$125,000,000","PGfor sequences of gun violence and action, and for brief strong language.(Rating bulletin 2526 (Cert #51591), 5/9/2018)",103 minutes,Action,Live Action,Contemporary Fiction,"Legendary Pictures,Seven Bucks Productions,Flynn Picture Company,Universal Pictures",United States,English,"July 05, 2018",
https://www.the-numbers.com/movie/Oceans-8-(2018)#tab=summary,"$70,000,000","PG-13for language, drug use, and some suggestive content.(Rating bulletin 2524 (Cert #51567), 4/25/2018)",110 minutes,Comedy,Live Action,Contemporary Fiction,"Warner Bros.,Village Roadshow Productions,Rahway Road",United States,English,"June 08, 2018",Ocean's Eleven
https://www.the-numbers.com/movie/Maze-Runner-The-Death-Cure#tab=summary,"$61,000,000","PG-13for intense sequences of sci-fi violence and action, language, and some thematic elements.",114 minutes,Action,Live Action,Science Fiction,"Gotham Group,Temple Hill Entertainment,TSG Entertainment",United States,English,"January 17, 2018",The Maze Runner
https://www.the-numbers.com/movie/Halloween-(2018)#tab=summary,"$10,000,000","Rfor horror violence and bloody images, language, brief drug use and nudity.(Rating bulletin 2538 (Cert #51734), 8/1/2018)",105 minutes,Horror,Live Action,Contemporary Fiction,"Blumhouse,Miramax Films,Rough House Pictures,Universal Pictures,Malek Akkad",United States,English,"October 17, 2018",Halloween
https://www.the-numbers.com/movie/Mule-The-(2018)#tab=summary,"$50,000,000","Rfor language throughout and brief sexuality/nudity.(Rating bulletin 2550 (Cert #51878), 10/24/2018)",116 minutes,Drama,Live Action,Dramatization,"Malpaso Productions,Imperative Entertainment,Warner Bros.,Bron Creative",United States,English,"December 14, 2018",
https://www.the-numbers.com/movie/Wrinkle-in-Time-A-(2018)#tab=summary,"$103,000,000","PGfor thematic elements and some peril.(Rating bulletin 2502 (Cert #51324), 11/15/2017)",120 minutes,Adventure,Live Action,Fantasy,"Walt Disney Pictures,Whitaker Entertainment",United States,English,"March 09, 2018",
https://www.the-numbers.com/movie/House-with-a-Clock-in-its-Walls-The#tab=summary,"$40,000,000","PGfor thematic elements including sorcery, some action, scary images, rude humor and language.(Rating bulletin 2527 (Cert #51599), 5/16/2018)",105 minutes,Comedy,Live Action,Historical Fiction,"Amblin Entertainment,Mythology Entertainment",United States,English,"September 19, 2018",
https://www.the-numbers.com/movie/Singwa-Hamgge-Ingwa-Yeon-(South-Korea)-(2018)#tab=summary,,Not Rated,135 minutes,Action,Live Action,Fantasy,,Republic of Korea,Korean,"August 01, 2018",
https://www.the-numbers.com/movie/Jing-Zhou-(China)-(2018)#tab=summary,,Not Rated,116 minutes,Action,Live Action,Fantasy,"Perfect Village Entertainment,Tencent Pictures,KBRO HK Limited,Le Vision",China,Mandarin,"September 30, 2018",
https://www.the-numbers.com/movie/I-Feel-Pretty#tab=summary,"$32,000,000","PG-13for sexual content, some partial nudity, and language.(Rating bulletin 2519 (Cert #51524), 3/21/2018)",110 minutes,Comedy,Live Action,Contemporary Fiction,"Voltage Pictures,Wonderland Sound and Vision,Huayi Brothers Pictures Ltd,STX Entertainment,Asia Production Fund One Limited,Soundford Limited",United States,English,"April 20, 2018",
https://www.the-numbers.com/movie/Overboard-(Remake)-(2018)#tab=summary,"$12,000,000","PG-13for suggestive material, partial nudity and some language.(Rating bulletin 2509 (Cert #51392), 1/10/2018)",112 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"Pantelion Films,Metro-Goldwyn-Mayer Pictures,3Pas Studios",United States,English,"May 04, 2018",
https://www.the-numbers.com/movie/Di-Ren-Jie-Zhi-Si-Da-Tian-Wang-(China)-(2018)#tab=summary,,Not Rated,131 minutes,Action,Live Action,Fantasy,,"China,Hong Kong",Mandarin,"July 27, 2018",Detective Dee
https://www.the-numbers.com/movie/L-Feng-Bao-(2018-Hong-Kong)#tab=summary,,,90 minutes,Action,Live Action,Contemporary Fiction,,Hong Kong,Cantonese,"August 24, 2018",
https://www.the-numbers.com/movie/Isle-of-Dogs-(2018)#tab=summary,,"PG-13for thematic elements and some violent images.(Rating bulletin 2514 (Cert #51283), 2/14/2018)",105 minutes,Adventure,Stop-Motion Animation,Kids Fiction,"Fox Searchlight Pictures,Indian Paintbrush,American Empirical",United States,English,"March 23, 2018",
https://www.the-numbers.com/movie/Adrift-(2018)#tab=summary,"$35,000,000","PG-13for injury images, peril, language, brief drug use, partial nudity and thematic elements.(Rating bulletin 2526 (Cert #51589), 5/9/2018)",80 minutes,Drama,Live Action,Dramatization,"Lakeshore Entertainment,Ingenious Media,Huayi Brothers Pictures Ltd,STX Entertainment,RVK",United States,English,"June 01, 2018",
https://www.the-numbers.com/movie/Chtite-famille-La-(2018-France)#tab=summary,"$31,400,000",,107 minutes,Comedy,Live Action,Contemporary Fiction,,France,"French,English","March 02, 2018",
https://www.the-numbers.com/movie/Peppermint-(2018)#tab=summary,"$25,000,000","Rfor strong violence and language throughout.(Rating bulletin 2531 (Cert #51651), 6/13/2018)",102 minutes,Action,Live Action,Contemporary Fiction,"Lakeshore Entertainment,STX Films,Huayi Brothers Pictures Ltd",United States,English,"September 07, 2018",
